,feature,tfidf,mi_value,df_dep,df_nonDep,cpd,ig_value
0,abandoned,0.0,0.0014390394685112103,1,0,1.0,0.002076095104863729
1,abandonment,0.0,0.0014390394685112103,1,0,1.0,0.002076095104863729
2,ability,0.0,0.0014390394685112103,1,0,1.0,0.002076095104863729
3,able,0.0,0.024471582354118372,7,9,0.125,0.035305030504991564
4,abort,0.0,0.0014390394685112103,1,0,1.0,0.002076095104863729
5,about,0.0,0.1416550656573695,73,18,0.6043956043956044,0.20436506074068705
6,above,0.0,0.0028825522775071215,2,0,1.0,0.004158643875861512
7,absent,0.0,0.0014390394685112103,1,0,1.0,0.002076095104863729
8,absolute,0.0,0.0014390394685112103,1,0,1.0,0.002076095104863729
9,absolutely,0.0,0.018062051483395403,7,5,0.16666666666666666,0.026058032103374984
10,abuse,0.0,0.010168238507650454,7,0,1.0,0.014669667269562425
11,abused,0.0,0.005783113843806052,4,0,1.0,0.008343269663354747
12,abuser,0.0,0.003036510252257249,1,1,0.0,0.004380758282538699
13,abusing,0.0,0.0014390394685112103,1,0,1.0,0.002076095104863729
14,abusive,0.0,0.0014390394685112103,1,0,1.0,0.002076095104863729
15,academic,0.0,0.0016022694362928056,0,1,1.0,0.0023115861699068985
16,accept,0.0,0.004475213862199281,2,1,0.3333333333333333,0.006456368845912053
17,access,0.0,0.0014390394685112103,1,0,1.0,0.002076095104863729
18,accident,0.0,0.004822422863544671,0,3,1.0,0.006957285550304726
19,accomplishes,0.0,0.0014390394685112103,1,0,1.0,0.002076095104863729
20,accomplishment,0.0,0.0014390394685112103,1,0,1.0,0.002076095104863729
21,accounting,0.0,0.0016022694362928056,0,1,1.0,0.0023115861699068985
22,accurate,0.0,0.0014390394685112103,1,0,1.0,0.002076095104863729
23,acheat,0.0,0.0014390394685112103,1,0,1.0,0.002076095104863729
24,aches,0.0,0.0014390394685112103,1,0,1.0,0.002076095104863729
25,achieve,0.0,0.0016022694362928056,0,1,1.0,0.0023115861699068985
26,aching,0.0,0.0014390394685112103,1,0,1.0,0.002076095104863729
27,acknowledge,0.0,0.0014390394685112103,1,0,1.0,0.002076095104863729
28,across,0.0,0.0032097319616439975,0,2,1.0,0.004630664383645566
29,act,0.0,0.0028825522775071215,2,0,1.0,0.004158643875861512
30,actions,0.0,0.0014390394685112103,1,0,1.0,0.002076095104863729
31,active,0.0,0.003036510252257249,1,1,0.0,0.004380758282538699
32,actively,0.0,0.0028825522775071215,2,0,1.0,0.004158643875861512
33,actual,0.0,0.003036510252257249,1,1,0.0,0.004380758282538699
34,actually,0.0,0.031199505796994625,17,4,0.6190476190476191,0.0450113722915092
35,add,0.0,0.0014390394685112103,1,0,1.0,0.002076095104863729
36,added,0.0,0.0014390394685112103,1,0,1.0,0.002076095104863729
37,addict,0.0,0.0016022694362928056,0,1,1.0,0.0023115861699068985
38,addicted,0.0,0.0014390394685112103,1,0,1.0,0.002076095104863729
39,addicting,0.0,0.0014390394685112103,1,0,1.0,0.002076095104863729
40,addiction,0.0,0.004330567336008411,3,0,1.0,0.006247688019894171
41,addictions,0.0,0.003036510252257249,1,1,0.0,0.004380758282538699
42,addicts,0.0,0.0014390394685112103,1,0,1.0,0.002076095104863729
43,adding,0.0,0.0028825522775071215,2,0,1.0,0.004158643875861512
44,addressed,0.0,0.0014390394685112103,1,0,1.0,0.002076095104863729
45,addresses,0.0,0.0016022694362928056,0,1,1.0,0.0023115861699068985
46,adhd,0.0,0.008701919484577523,6,0,1.0,0.012554216086614667
47,adjusted,0.0,0.0016022694362928056,0,1,1.0,0.0023115861699068985
48,admin,0.0,0.0016022694362928056,0,1,1.0,0.0023115861699068985
49,admit,0.0,0.004330567336008411,3,0,1.0,0.006247688019894171
50,admitted,0.0,0.003036510252257249,1,1,0.0,0.004380758282538699
51,admitting,0.0,0.0014390394685112103,1,0,1.0,0.002076095104863729
52,adopted,0.0,0.0016022694362928056,0,1,1.0,0.0023115861699068985
53,adorable,0.0,0.0016022694362928056,0,1,1.0,0.0023115861699068985
54,adore,0.0,0.0016022694362928056,0,1,1.0,0.0023115861699068985
