,feature,tfidf,mi_value,df_dep,df_nonDep,cpd
3,able,0.0,0.024471582354118372,7,9,0.125
9,absolutely,0.0,0.018062051483395403,7,5,0.16666666666666666
16,accept,0.0,0.004475213862199281,2,1,0.3333333333333333
55,adult,0.0,0.004639163578554617,1,2,0.3333333333333333
70,after,0.0,0.07821447264366835,22,29,0.13725490196078433
73,again,0.0,0.04330344776072697,22,7,0.5172413793103449
74,against,0.0,0.005918409128681631,3,1,0.5
76,ago,0.0,0.06453806165635427,31,12,0.4418604651162791
80,ahead,0.0,0.004639163578554617,1,2,0.3333333333333333
90,all,0.0,0.12898345079381215,59,26,0.38823529411764707
91,allowed,0.0,0.007676088074605134,2,3,0.2
93,almost,0.0,0.028215816373409988,15,4,0.5789473684210527
95,along,0.0,0.006247034688436352,1,3,0.5
98,already,0.0,0.014888995558983466,7,3,0.4
101,also,0.0,0.05847102675120449,29,10,0.48717948717948717
107,always,0.0,0.044935513156305146,20,10,0.3333333333333333
108,am,0.0,0.24553498039242647,115,39,0.4935064935064935
109,amazing,0.21832979928787916,0.018396590702014833,5,7,0.16666666666666666
118,amount,0.0,0.010401701669030471,5,2,0.42857142857142855
120,an,0.14279912186902996,0.09341467414814181,42,20,0.3548387096774194
121,and,0.1203727868732057,0.575031191971455,215,138,0.21813031161473087
135,anorexia,0.0,0.004475213862199281,2,1,0.3333333333333333
137,another,0.0,0.010713043329591993,3,4,0.14285714285714285
138,antidepressants,0.0,0.008954287188681836,4,2,0.3333333333333333
143,anxious,0.0,0.007511412231205749,3,2,0.2
149,anyway,0.0,0.010401701669030471,5,2,0.42857142857142855
150,anyways,0.0,0.005918409128681631,3,1,0.5
168,appreciate,0.0,0.004475213862199281,2,1,0.3333333333333333
176,are,0.0,0.11796251112877579,53,25,0.358974358974359
178,arent,0.0,0.005918409128681631,3,1,0.5
181,around,0.19537781890766365,0.029705214071195495,16,4,0.6
184,art,0.0,0.004639163578554617,1,2,0.3333333333333333
188,as,0.0,0.09396879275717508,47,15,0.5161290322580645
190,ask,0.0,0.010401701669030471,5,2,0.42857142857142855
209,at,0.0,0.15457742616911443,72,29,0.42574257425742573
221,attempt,0.0,0.005918409128681631,3,1,0.5
245,awful,0.0,0.007511412231205749,3,2,0.2
247,awkward,0.0,0.004475213862199281,2,1,0.3333333333333333
250,back,0.0,0.063076667987765,32,10,0.5238095238095238
276,be,0.0,0.17336766210273347,75,39,0.3157894736842105
280,became,0.0,0.004475213862199281,2,1,0.3333333333333333
282,become,0.0,0.007511412231205749,3,2,0.2
284,becoming,0.0,0.004475213862199281,2,1,0.3333333333333333
288,been,0.1211674788113444,0.1484629883667076,64,34,0.30612244897959184
290,before,0.0,0.03731746607564903,18,7,0.44
295,beginning,0.0,0.005918409128681631,3,1,0.5
299,behind,0.0,0.007366125204724907,4,1,0.6
300,being,0.0,0.06606806652176647,29,15,0.3181818181818182
311,best,0.0,0.027708650689466707,7,11,0.2222222222222222
313,better,0.0,0.042085112976262495,17,11,0.21428571428571427
317,big,0.0,0.020445542049384972,3,10,0.5384615384615384
319,biggest,0.0,0.004475213862199281,2,1,0.3333333333333333
340,blocked,0.0,0.004475213862199281,2,1,0.3333333333333333
352,book,0.0,0.004639163578554617,1,2,0.3333333333333333
354,books,0.0,0.004639163578554617,1,2,0.3333333333333333
363,boss,0.0,0.005918409128681631,3,1,0.5
