,feature,tfidf,mi_value,df_dep,df_nonDep,cpd,ig_value
0,abandoned,0.0,0.0014390394685112103,1,0,1.0,0.002076095104863729
1,abandonment,0.0,0.0014390394685112103,1,0,1.0,0.002076095104863729
2,ability,0.0,0.0014390394685112103,1,0,1.0,0.002076095104863729
3,able,0.0,0.024471582354118372,7,9,0.125,0.035305030504991564
4,abort,0.0,0.0014390394685112103,1,0,1.0,0.002076095104863729
5,absent,0.0,0.0014390394685112103,1,0,1.0,0.002076095104863729
6,absolute,0.0,0.0014390394685112103,1,0,1.0,0.002076095104863729
7,absolutely,0.0,0.018062051483395403,7,5,0.16666666666666666,0.026058032103374984
8,abuse,0.0,0.010168238507650454,7,0,1.0,0.014669667269562425
9,abused,0.0,0.005783113843806052,4,0,1.0,0.008343269663354747
10,abuser,0.0,0.003036510252257249,1,1,0.0,0.004380758282538699
11,abusing,0.0,0.0014390394685112103,1,0,1.0,0.002076095104863729
12,abusive,0.0,0.0014390394685112103,1,0,1.0,0.002076095104863729
13,academic,0.0,0.0016022694362928056,0,1,1.0,0.0023115861699068985
14,accept,0.0,0.004475213862199281,2,1,0.3333333333333333,0.006456368845912053
15,access,0.0,0.0014390394685112103,1,0,1.0,0.002076095104863729
16,accident,0.0,0.004822422863544671,0,3,1.0,0.006957285550304726
17,accomplishes,0.0,0.0014390394685112103,1,0,1.0,0.002076095104863729
18,accomplishment,0.0,0.0014390394685112103,1,0,1.0,0.002076095104863729
19,accounting,0.0,0.0016022694362928056,0,1,1.0,0.0023115861699068985
20,accurate,0.0,0.0014390394685112103,1,0,1.0,0.002076095104863729
21,acheat,0.0,0.0014390394685112103,1,0,1.0,0.002076095104863729
22,aches,0.0,0.0014390394685112103,1,0,1.0,0.002076095104863729
23,achieve,0.0,0.0016022694362928056,0,1,1.0,0.0023115861699068985
24,aching,0.0,0.0014390394685112103,1,0,1.0,0.002076095104863729
25,acknowledge,0.0,0.0014390394685112103,1,0,1.0,0.002076095104863729
26,across,0.0,0.0032097319616439975,0,2,1.0,0.004630664383645566
27,act,0.0,0.0028825522775071215,2,0,1.0,0.004158643875861512
28,actions,0.0,0.0014390394685112103,1,0,1.0,0.002076095104863729
29,active,0.0,0.003036510252257249,1,1,0.0,0.004380758282538699
30,actively,0.0,0.0028825522775071215,2,0,1.0,0.004158643875861512
31,actual,0.0,0.003036510252257249,1,1,0.0,0.004380758282538699
32,actually,0.0,0.031199505796994625,17,4,0.6190476190476191,0.0450113722915092
33,add,0.0,0.0014390394685112103,1,0,1.0,0.002076095104863729
34,added,0.0,0.0014390394685112103,1,0,1.0,0.002076095104863729
35,addict,0.0,0.0016022694362928056,0,1,1.0,0.0023115861699068985
36,addicted,0.0,0.0014390394685112103,1,0,1.0,0.002076095104863729
37,addicting,0.0,0.0014390394685112103,1,0,1.0,0.002076095104863729
38,addiction,0.0,0.004330567336008411,3,0,1.0,0.006247688019894171
39,addictions,0.0,0.003036510252257249,1,1,0.0,0.004380758282538699
40,addicts,0.0,0.0014390394685112103,1,0,1.0,0.002076095104863729
41,adding,0.0,0.0028825522775071215,2,0,1.0,0.004158643875861512
42,addressed,0.0,0.0014390394685112103,1,0,1.0,0.002076095104863729
43,addresses,0.0,0.0016022694362928056,0,1,1.0,0.0023115861699068985
44,adhd,0.0,0.008701919484577523,6,0,1.0,0.012554216086614667
45,adjusted,0.0,0.0016022694362928056,0,1,1.0,0.0023115861699068985
46,admin,0.0,0.0016022694362928056,0,1,1.0,0.0023115861699068985
47,admit,0.0,0.004330567336008411,3,0,1.0,0.006247688019894171
48,admitted,0.0,0.003036510252257249,1,1,0.0,0.004380758282538699
49,admitting,0.0,0.0014390394685112103,1,0,1.0,0.002076095104863729
50,adopted,0.0,0.0016022694362928056,0,1,1.0,0.0023115861699068985
51,adorable,0.0,0.0016022694362928056,0,1,1.0,0.0023115861699068985
52,adore,0.0,0.0016022694362928056,0,1,1.0,0.0023115861699068985
53,adult,0.0,0.004639163578554617,1,2,0.3333333333333333,0.0066928982886529376
54,advanced,0.0,0.0014390394685112103,1,0,1.0,0.002076095104863729
