,feature,tfidf
0,abandoned,0.0
1,abandonment,0.0
2,ability,0.0
3,able,0.0
4,abort,0.0
5,about,0.03602628252010312
6,above,0.0
7,absent,0.0
8,absolute,0.0
9,absolutely,0.0
10,abuse,0.0
11,abused,0.0
12,abuser,0.0
13,abusing,0.0
14,abusive,0.0
15,accept,0.0
16,access,0.0
17,accomplishes,0.0
18,accomplishment,0.0
19,accurate,0.0
20,acheat,0.0
21,aches,0.0
22,aching,0.0
23,acknowledge,0.0
24,act,0.0
25,actions,0.0
26,active,0.0
27,actively,0.0
28,actual,0.0
29,actually,0.0
30,add,0.0
31,added,0.0
32,addicted,0.0
33,addicting,0.0
34,addiction,0.0
35,addictions,0.0
36,addicts,0.0
37,adding,0.0
38,addressed,0.0
39,adhd,0.0
40,admit,0.0
41,admitted,0.0
42,admitting,0.0
43,adult,0.0
44,advanced,0.0
45,advantage,0.0
46,advice,0.0
47,advocate,0.0
48,affect,0.0
49,affecting,0.0
50,affects,0.0
51,afraid,0.0
52,african,0.0
53,after,0.0
54,afterwards,0.0
55,again,0.0
56,against,0.0
57,age,0.0
58,ago,0.049955720083791386
59,agoraphobia,0.0
60,agree,0.0
61,agreed,0.0
62,ahead,0.0
63,ahs,0.0
64,aint,0.0
65,air,0.0
66,alcohol,0.0
67,alcoholics,0.0
68,alienated,0.0
69,all,0.0
70,allowed,0.0
71,almost,0.0
72,alone,0.0
73,along,0.0
74,already,0.0
75,alright,0.0
76,als,0.0
77,also,0.0
78,altered,0.0
79,although,0.0
80,altogether,0.0
81,always,0.0
82,am,0.02855710232667741
83,amazing,0.0
84,ambien,0.0
85,americans,0.0
86,amid,0.0
87,among,0.0
88,amongst,0.0
89,amount,0.0
90,amounts,0.0
91,an,0.0
92,and,0.07290923638026836
93,anger,0.0
94,angry,0.0
95,angus,0.0
96,anhedonia,0.0
97,anhedonic,0.0
98,ankle,0.0
99,ankles,0.0
100,announcing,0.0
101,annoying,0.0
102,anorexia,0.0
103,anorexic,0.0
104,another,0.0
105,antidepressants,0.0
106,antidepressent,0.0
107,anxiety,0.0
108,anxietydepression,0.0
109,anxious,0.0
110,any,0.0
111,anybody,0.0
112,anymore,0.0
113,anyone,0.0
114,anything,0.09420061093352297
115,anyway,0.07777003274451699
116,anyways,0.0
117,anywhere,0.0
118,apart,0.0
119,apologized,0.0
120,app,0.0
121,apparently,0.0
122,appear,0.0
123,appearance,0.0
124,appease,0.0
125,appetite,0.0
126,apply,0.0
127,appointment,0.0
128,appointments,0.0
129,appreciate,0.0
130,appreciated,0.0
131,appreciates,0.0
132,approach,0.0
133,approve,0.0
134,are,0.0
135,areas,0.0
136,arent,0.0
137,arm,0.0
138,arms,0.0
139,around,0.0
140,arrangement,0.0
141,arrows,0.0
142,art,0.0
143,articles,0.0
144,as,0.04321862805324665
145,ashamed,0.0
146,ask,0.0
147,asked,0.0
148,asking,0.0
149,asleep,0.0
150,asocial,0.0
151,aspect,0.0
152,aspects,0.0
153,aspergers,0.0
154,assault,0.0
155,assaulted,0.0
156,assaulting,0.0
157,assaults,0.0
158,asshole,0.0
159,associated,0.0
160,assume,0.0
161,assuming,0.0
162,at,0.03625235013529949
163,ate,0.0
164,ativan,0.0
165,atm,0.0
166,attached,0.0
167,attachment,0.0
168,attack,0.0
169,attacked,0.0
170,attacking,0.0
171,attacks,0.0
172,attempt,0.0
173,attempted,0.0
174,attempts,0.0
175,attend,0.0
176,attendance,0.0
177,attending,0.0
178,attention,0.0
179,auditory,0.0
180,australia,0.0
181,automatic,0.0
182,autonomy,0.0
183,averaging,0.0
184,avoid,0.0
185,avoiding,0.0
186,awake,0.0
187,aware,0.0
188,away,0.0
189,awful,0.0
190,awkward,0.0
191,babble,0.0
192,baby,0.0
193,back,0.0
194,background,0.0
195,bad,0.09599734183958408
196,badly,0.0
197,bag,0.0
198,balanced,0.0
199,balls,0.0
200,bang,0.0
201,barely,0.0
202,basic,0.0
203,basically,0.0
204,basis,0.0
205,bat,0.0
206,bathroom,0.0
207,batman,0.0
208,bc,0.0
209,be,0.035583170569671384
210,beach,0.0
211,beat,0.0
212,beautiful,0.0
213,became,0.0
214,because,0.03792729212541244
215,become,0.0
216,becomes,0.0
217,becoming,0.0
218,bed,0.0
219,bee,0.0
220,been,0.0
221,before,0.0
222,beforehand,0.0
223,beforeor,0.0
224,began,0.0
225,begin,0.0
226,beginning,0.0
227,behavioral,0.0
228,behaviour,0.0
229,behind,0.0
230,being,0.0
231,beliefs,0.0
232,believe,0.07777003274451699
233,believed,0.0
234,believes,0.0
235,believing,0.0
236,belly,0.09602425967215183
237,below,0.0
238,benefit,0.0
239,best,0.0
240,betrayed,0.0
241,better,0.0
242,between,0.0
243,big,0.0
244,bigger,0.0
245,biggest,0.0
246,bike,0.0
247,bikinis,0.0
248,bipolar,0.0
249,bird,0.0
250,birthday,0.0
251,bit,0.0
252,black,0.0
253,blacking,0.0
254,blade,0.0
255,blaming,0.0
256,bleed,0.0
257,bleeding,0.0
258,blend,0.0
259,blessed,0.0
260,blind,0.0
261,blinded,0.0
262,blocked,0.0
263,blocking,0.0
264,blood,0.0
265,board,0.0
266,body,0.0
267,bones,0.0
268,book,0.0
269,booked,0.0
270,books,0.0
271,boom,0.0
272,border,0.0
273,borderline,0.0
274,boring,0.0
275,born,0.0
276,boss,0.0
277,bosses,0.0
278,both,0.0
279,bother,0.0
280,bothered,0.0
281,bothering,0.0
282,bothers,0.0
283,bothersome,0.0
284,bottle,0.0
285,bounce,0.0
286,boundaries,0.0
287,boundary,0.0
288,bout,0.0
289,bowl,0.0
290,boyfriend,0.0
291,boyfriends,0.0
292,bpd,0.0
293,brace,0.0
294,braces,0.0
295,brackets,0.0
296,brady,0.0
297,brain,0.0
298,break,0.0
299,breakdown,0.0
300,breakdowns,0.0
301,breakup,0.0
302,breathe,0.0
303,breathing,0.0
304,brief,0.0
305,bring,0.0
306,brings,0.0
307,broke,0.0
308,broken,0.0
309,brother,0.0
310,brothers,0.0
311,brought,0.0
312,brushes,0.0
313,brushing,0.0
314,brutal,0.0
315,btw,0.0
316,bubbly,0.0
317,buddy,0.0
318,bugs,0.0
319,build,0.0
320,building,0.0
321,bullied,0.0
322,bullshit,0.0
323,bullying,0.0
324,bumped,0.0
325,bumping,0.0
