,word,freq_dep,freq_nonDep
0,a,457,199
1,abandoned,1,0
2,abandonment,1,0
3,ability,1,0
4,able,7,11
5,abort,2,0
6,about,91,24
7,above,2,0
8,absent,1,0
9,absolute,1,0
10,absolutely,8,5
11,abuse,10,0
12,abused,4,0
13,abuser,1,1
14,abusing,1,0
15,abusive,1,0
16,academic,0,1
17,accept,2,1
18,access,1,0
19,accident,0,3
20,accomplishes,1,0
21,accomplishment,1,0
22,accounting,0,1
23,accurate,1,0
24,acheat,1,0
25,aches,1,0
26,achieve,0,1
27,aching,1,0
28,acknowledge,1,0
29,across,0,2
30,act,2,0
31,actions,1,0
32,active,1,1
33,actively,2,0
34,actual,1,1
35,actually,18,4
36,add,1,0
37,added,1,0
38,addict,0,1
39,addicted,1,0
40,addicting,1,0
41,addiction,5,0
42,addictions,1,1
43,addicts,1,0
44,adding,2,0
45,addressed,1,0
46,addresses,0,1
47,adhd,9,0
48,adjusted,0,1
49,admin,0,1
50,admit,4,0
51,admitted,1,1
52,admitting,1,0
53,adopted,0,2
54,adorable,0,1
55,adore,0,1
56,adult,1,2
57,advanced,1,0
58,advantage,2,0
59,advice,6,1
60,advised,0,1
61,advocate,1,0
62,affairs,0,1
63,affect,1,0
64,affecting,2,0
65,affectionate,0,1
66,affects,2,0
67,afford,0,1
68,affordable,0,1
69,afraid,7,0
70,african,1,0
71,after,24,31
72,afternoons,0,1
73,afterwards,1,0
74,again,29,7
75,against,3,1
76,age,2,0
77,ago,35,12
78,agoraphobia,1,0
79,agree,1,0
80,agreed,1,0
81,ahead,1,2
82,ahs,1,0
83,aint,1,1
84,air,2,0
85,airbnb,0,1
86,al,0,1
87,alcohol,2,0
88,alcoholics,1,0
89,alienated,1,0
90,alive,0,2
91,all,77,31
92,allowed,2,3
93,allowing,0,1
94,almost,17,4
95,alone,12,0
96,along,1,3
97,alongside,0,1
98,alot,0,1
99,already,7,3
100,alright,1,0
101,als,1,0
102,also,34,10
103,alt,0,1
104,altered,3,0
105,although,8,1
106,altogeth,0,1
107,altogether,1,0
108,always,21,10
109,am,205,51
110,amazing,5,7
111,amazingly,0,1
112,ambien,2,0
113,america,0,1
114,american,0,1
115,americans,1,0
116,amid,2,0
117,among,1,0
118,amongst,1,0
119,amount,5,2
120,amounts,1,0
121,an,49,21
122,and,690,252
123,anger,4,0
124,angry,6,0
125,angus,2,0
126,anhedonia,1,0
127,anhedonic,1,0
128,animal,0,2
129,ankle,3,0
130,ankles,6,0
131,anniversary,0,1
132,announced,0,1
133,announcing,1,0
134,annoying,1,0
135,annual,0,1
136,anorexia,3,1
137,anorexic,2,0
138,another,3,4
139,antidepressants,4,2
140,antidepressent,1,0
141,anxieties,0,1
142,anxiety,52,4
143,anxietydepression,1,0
144,anxious,4,2
145,any,41,3
146,anybody,1,0
147,anymore,23,2
148,anyone,36,1
149,anything,44,3
150,anyway,5,2
151,anyways,3,1
152,anywhere,1,0
153,aok,0,1
154,apart,5,0
155,apartment,0,1
156,apologize,0,1
157,apologized,1,0
158,app,2,0
159,apparently,4,0
160,appear,1,0
161,appearance,1,0
162,appeared,0,1
163,appease,1,0
164,appetite,1,1
165,apple,0,1
166,apply,1,0
167,appointment,6,0
168,appointments,3,0
169,appreciate,2,1
170,appreciated,1,1
171,appreciates,1,1
172,appreciative,0,1
173,approach,1,0
174,approaches,0,1
175,approve,1,0
176,april,0,2
177,are,82,26
178,areas,2,0
179,arent,3,1
180,arm,17,0
181,arms,1,0
182,around,20,4
183,arrangement,1,0
184,arrows,1,0
185,art,1,2
186,articles,1,0
187,artificial,0,1
188,artist,0,1
189,as,81,19
190,ashamed,1,0
191,ask,5,2
192,asked,4,4
193,asking,2,0
194,asleep,5,1
195,aslo,0,1
196,asocial,1,0
197,aspect,3,0
198,aspects,1,0
199,aspergers,1,0
200,aspirations,0,1
201,assault,1,0
202,assaulted,1,0
203,assaulting,1,0
204,assaults,1,0
